ItemNumberorderableSKU,Description,Vendor,OEM,OEMPartNumber,ConditionCode,QOH,InStock,LeadTime,InventoryID,RefNoteID,Attribute,RefNoteID_2,Attribute_2,InventoryID_2,Subitem,Warehouse,Location,InventoryID_3,Subitem_2,Warehouse_2,RefNoteID_3,Attribute_3,InventoryID_4,Currency,ReplClass,InventoryID_5,CuryID,Warehouse_3,LocationID,RefNoteID_4,Attribute_4
02893-100,Welch Allyn Oral Temperature Cable with Square Well Kit (9 ft),Avante Health Solutions (APM-PATIENT MONITORING),Welch Allyn,02895-000,New OEM,37.000000,Y,1-5 days,02893-100,31d70223-6864-ea11-817b-a9605c8569c6,MANUFACTUR,31d70223-6864-ea11-817b-a9605c8569c6,MFGPARTNO,02893-100,0,APM MAIN,F06B1,02893-100,0,APM MAIN,31d70223-6864-ea11-817b-a9605c8569c6,PARTGROUP,02893-100,USD,PURCHASE,68309,USD,APM MAIN,F06B1,31d70223-6864-ea11-817b-a9605c8569c6,PSAPMPART
02895-000,Welch Allyn Oral Round Well Temperature Probe with 9' Cable Length (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),Philips,0950-4319,Refurbished,20.000000,Y,1-5 days,02895-000,57d70223-6864-ea11-817b-a9605c8569c6,MANUFACTUR,57d70223-6864-ea11-817b-a9605c8569c6,MFGPARTNO,02895-000,0,APM MAIN,F06H1,02895-000,0,APM MAIN,57d70223-6864-ea11-817b-a9605c8569c6,PARTGROUP,02895-000,USD,PURCHASE,68311,USD,APM MAIN,F06H1,57d70223-6864-ea11-817b-a9605c8569c6,PSAPMPART
147077-100-C,"Alaris 8000 & 8015 PCU, 8110 & 8120 Syringe Pump, 8100 Pump, & 8300 etCO2 IUI Connector (Right) (New Replacement)",Avante Health Solutions (APM-PATIENT MONITORING),Avante,147078-100,New Aftermarket,114.000000,Y,1-5 days,147077-100-C,3891b918-455b-eb11-8172-12e75f4d5d6d,MANUFACTUR,3891b918-455b-eb11-8172-12e75f4d5d6d,MFGPARTNO,147077-100-C,0,APM MAIN,F13B2,147077-100-C,0,APM MAIN,3891b918-455b-eb11-8172-12e75f4d5d6d,PARTGROUP,147077-100-C,USD,PURCHASE,137649,USD,APM MAIN,F13B2,3891b918-455b-eb11-8172-12e75f4d5d6d,PSAPMPART
147078-100-C,"Alaris 8000 & 8015 PCU, 8100, 8110 & 8120 Syringe Pump, & 8300 etCO2 IUI Connector & Gasket Seal Kit Left (New Replacement)",Avante Health Solutions (APM-PATIENT MONITORING),Avante,147080-100-4,New Aftermarket,116.000000,Y,1-5 days,147078-100-C,1b5d4745-465b-eb11-8172-12e75f4d5d6d,MANUFACTUR,1b5d4745-465b-eb11-8172-12e75f4d5d6d,MFGPARTNO,147078-100-C,0,APM MAIN,F13B2,147078-100-C,0,APM MAIN,1b5d4745-465b-eb11-8172-12e75f4d5d6d,PARTGROUP,147078-100-C,USD,PURCHASE,137650,USD,APM MAIN,F13B2,1b5d4745-465b-eb11-8172-12e75f4d5d6d,PSAPMPART
147080-100-4-C,"Alaris 8000 & 8015 PCU, 8100 Pump, & 8300 etCO2 Latch Support (New Replacement)",Avante Health Solutions (APM-PATIENT MONITORING),Avante,147795-001,New Aftermarket,306.000000,Y,1-5 days,147080-100-4-C,aaa61fe7-d902-eb11-8181-1296c0afa970,MANUFACTUR,aaa61fe7-d902-eb11-8181-1296c0afa970,MFGPARTNO,147080-100-4-C,0,APM MAIN,F13H1,147080-100-4-C,0,APM MAIN,aaa61fe7-d902-eb11-8181-1296c0afa970,PARTGROUP,147080-100-4-C,USD,PURCHASE,117525,USD,APM MAIN,F13H1,aaa61fe7-d902-eb11-8181-1296c0afa970,PSAPMPART
147795-001-C,Alaris 8110 Syringe pump module left handle (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,147796-001,New Aftermarket,26.000000,Y,1-5 days,147795-001-C,5f9c17ed-d902-eb11-8181-1296c0afa970,MANUFACTUR,5f9c17ed-d902-eb11-8181-1296c0afa970,MFGPARTNO,147795-001-C,0,APM MAIN,F13G2,147795-001-C,0,APM MAIN,5f9c17ed-d902-eb11-8181-1296c0afa970,PARTGROUP,147795-001-C,USD,PURCHASE,117526,USD,APM MAIN,F13G2,5f9c17ed-d902-eb11-8181-1296c0afa970,PSAPMPART
147796-001-C,Alaris 8110 Syringe pump module right handle (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),GE,2008329-001,New Aftermarket,371.000000,Y,1-5 days,147796-001-C,f79c17ed-d902-eb11-8181-1296c0afa970,MANUFACTUR,f79c17ed-d902-eb11-8181-1296c0afa970,MFGPARTNO,147796-001-C,0,APM MAIN,E13H1,147796-001-C,0,APM MAIN,f79c17ed-d902-eb11-8181-1296c0afa970,PARTGROUP,147796-001-C,USD,PURCHASE,117527,USD,APM MAIN,F13F2,f79c17ed-d902-eb11-8181-1296c0afa970,PSAPMPART
15244A-C,Philips Conn Remote Startup Switch (15244A Direct Replacement) (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1843,New Aftermarket,19.000000,Y,1-5 days,15244A-C,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,MANUFACTUR,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,MFGPARTNO,15244A-C,0,APM MAIN,F06A1,15244A-C,0,APM MAIN,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,PARTGROUP,15244A-C,USD,PURCHASE,139452,USD,APM MAIN,F06A1,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,PSAPMPART
1645,Masimo LNOP to LNC MAC-1 SpO2 Extension Cable,Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1778,New OEM,5.000000,Y,1-5 days,1645,3a1fef82-6864-ea11-817b-a9605c8569c6,MANUFACTUR,3a1fef82-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1645,0,APM MAIN,F05D1,1645,0,APM MAIN,3a1fef82-6864-ea11-817b-a9605c8569c6,PARTGROUP,1645,USD,PURCHASE,68914,USD,APM MAIN,F05D1,3a1fef82-6864-ea11-817b-a9605c8569c6,PSAPMPART
1863,Masimo SET LNCS DC-I Adult Reusable Hard Shell SpO2 Sensor LNCS 9 Pin Connector 3' Cable (OEM New) (Avante P/N NHMA1027),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1864,New OEM,40.000000,Y,1-5 days,1863,1222ef82-6864-ea11-817b-a9605c8569c6,MANUFACTUR,1222ef82-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1863,0,APM MAIN,F05E1,1863,0,APM MAIN,1222ef82-6864-ea11-817b-a9605c8569c6,PARTGROUP,1863,USD,PURCHASE,68952,USD,APM MAIN,F05E1,1222ef82-6864-ea11-817b-a9605c8569c6,PSAPMPART
1864,Masimo LNCS DC-IP Pediatric SpO2 Sensor (3 ft) (OEM NEW) (AVANTE PN NHMA1727),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1890,New OEM,5.000000,Y,1-5 days,1864,2522ef82-6864-ea11-817b-a9605c8569c6,MANUFACTUR,2522ef82-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1864,0,APM MAIN,F05D1,1864,0,APM MAIN,2522ef82-6864-ea11-817b-a9605c8569c6,PARTGROUP,1864,USD,PURCHASE,68953,USD,APM MAIN,F05D1,2522ef82-6864-ea11-817b-a9605c8569c6,PSAPMPART
1890,Masimo SET 1890 PC-12-GE Patient Extension Cable LNOP F-Tab to Marquette 11 Pin 12' Cable (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1896,New OEM,7.000000,Y,1-5 days,1890,4b22ef82-6864-ea11-817b-a9605c8569c6,MANUFACTUR,4b22ef82-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1890,0,APM MAIN,F05D1,1890,0,APM MAIN,4b22ef82-6864-ea11-817b-a9605c8569c6,PARTGROUP,1890,USD,PURCHASE,68955,USD,APM MAIN,F05D1,4b22ef82-6864-ea11-817b-a9605c8569c6,PSAPMPART
1896,Masimo LNCS TF-I Adult Transflectance Forehead SpO2 Sensor (3 ft),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1901,New OEM,9.000000,Y,1-5 days,1896,d205ea88-6864-ea11-817b-a9605c8569c6,MANUFACTUR,d205ea88-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1896,0,APM MAIN,F05E1,1896,0,APM MAIN,d205ea88-6864-ea11-817b-a9605c8569c6,PARTGROUP,1896,USD,PURCHASE,68957,USD,APM MAIN,F05E1,d205ea88-6864-ea11-817b-a9605c8569c6,PSAPMPART
1901,Masimo LNCS Neonate Preterm Disposable SpO2 Sensors,Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1903,New OEM,4.000000,Y,1-5 days,1901,e505ea88-6864-ea11-817b-a9605c8569c6,MANUFACTUR,e505ea88-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1901,0,APM MAIN,F05E1,1901,0,APM MAIN,e505ea88-6864-ea11-817b-a9605c8569c6,PARTGROUP,1901,USD,PURCHASE,68958,USD,APM MAIN,F05E1,e505ea88-6864-ea11-817b-a9605c8569c6,PSAPMPART
1927,Masimo MAC-1 LNOP to Nellcor or LCNS Series SpO2 Extension Cable (12 ft),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1969,New OEM,8.000000,Y,1-5 days,1927,5706ea88-6864-ea11-817b-a9605c8569c6,MANUFACTUR,5706ea88-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1927,0,APM MAIN,F05D1,1927,0,APM MAIN,5706ea88-6864-ea11-817b-a9605c8569c6,PARTGROUP,1927,USD,PURCHASE,68964,USD,APM MAIN,F05D1,5706ea88-6864-ea11-817b-a9605c8569c6,PSAPMPART
1981,Masimo Handheld Protective Boot (Red),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1982,New OEM,10.000000,Y,1-5 days,1981,9006ea88-6864-ea11-817b-a9605c8569c6,MANUFACTUR,9006ea88-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1981,0,APM MAIN,H11E1,1981,0,APM MAIN,9006ea88-6864-ea11-817b-a9605c8569c6,PARTGROUP,1981,USD,PURCHASE,68967,USD,APM MAIN,H11E1,9006ea88-6864-ea11-817b-a9605c8569c6,PSAPMPART
2008329-001-N,GE Carescape V100 Display Cover for Units with Temp/SpO2/NiBP English (New OEM),Avante Health Solutions (APM-PATIENT MONITORING),Avante,2017857-002,New OEM,23.000000,Y,1-5 days,2008329-001-N,baf6c0f5-2c65-ed11-8189-12e75f4d5d6d,MANUFACTUR,baf6c0f5-2c65-ed11-8189-12e75f4d5d6d,MFGPARTNO,2008329-001-N,0,APM MAIN,E11B2,2008329-001-N,0,APM MAIN,baf6c0f5-2c65-ed11-8189-12e75f4d5d6d,PARTGROUP,2008329-001-N,USD,PURCHASE,158755,USD,APM MAIN,E11B2,baf6c0f5-2c65-ed11-8189-12e75f4d5d6d,PSAPMPART
2013,Masimo LNCS LNC-14 SpO2 Extension Cable,Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2014,New OEM,9.000000,Y,1-5 days,2013,86a9db94-6864-ea11-817b-a9605c8569c6,MANUFACTUR,86a9db94-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2013,0,APM MAIN,F05D1,2013,0,APM MAIN,86a9db94-6864-ea11-817b-a9605c8569c6,PARTGROUP,2013,USD,PURCHASE,69054,USD,APM MAIN,F05D1,86a9db94-6864-ea11-817b-a9605c8569c6,PSAPMPART
2017857-002-C,GE Dash 3000 4000 5000 Transport Pro Patient Monitor New Rechargeable 11.1V Compatible Battery (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),GE,2018859-001,New Aftermarket,3.000000,Y,1-5 days,2017857-002-C,b18a0e35-da02-eb11-8181-1296c0afa970,MANUFACTUR,b18a0e35-da02-eb11-8181-1296c0afa970,MFGPARTNO,2017857-002-C,0,APM MAIN,F08C1,2017857-002-C,0,APM MAIN,b18a0e35-da02-eb11-8181-1296c0afa970,PARTGROUP,2017857-002-C,USD,PURCHASE,117654,USD,APM MAIN,F08C1,b18a0e35-da02-eb11-8181-1296c0afa970,PSAPMPART
2018859-001-N,GE Carescape V100 400 Vital Signs Monitor Power Supply 100-240VAC 50/60 Hz 0.5A (New OEM),Avante Health Solutions (APM-PATIENT MONITORING),GE,2021926-008,New OEM,4.000000,Y,1-5 days,2018859-001-N,235ce69a-6864-ea11-817b-a9605c8569c6,MANUFACTUR,235ce69a-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2018859-001-N,0,APM MAIN,E11H1,2018859-001-N,0,APM MAIN,235ce69a-6864-ea11-817b-a9605c8569c6,PARTGROUP,2018859-001-N,USD,PURCHASE,69100,USD,APM MAIN,E11H1,235ce69a-6864-ea11-817b-a9605c8569c6,PSAPMPART
2021926-008-C,GE Transport Pro Foot Assembly (New Aftermarket),Avante Health Solutions (APM-PATIENT MONITORING),GE,2022758-001,New Aftermarket,7.000000,Y,1-5 days,2021926-008-C,a6c8f15f-f133-ef11-8359-121089124341,MANUFACTUR,a6c8f15f-f133-ef11-8359-121089124341,MFGPARTNO,2021926-008-C,0,APM MAIN,E10A2,2021926-008-C,0,APM MAIN,a6c8f15f-f133-ef11-8359-121089124341,PARTGROUP,2021926-008-C,USD,PURCHASE,166826,USD,APM MAIN,E10A2,a6c8f15f-f133-ef11-8359-121089124341,PSAPMPART
2022758-001-C,GE Dash 5000 Patient Monitor LCD Display Screen Transition Bezel Rear Case Cover (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),GE,2024358-001,New Aftermarket,2.000000,Y,1-5 days,2022758-001-C,0de170ce-9c96-ec11-817f-12e75f4d5d6d,MANUFACTUR,0de170ce-9c96-ec11-817f-12e75f4d5d6d,MFGPARTNO,2022758-001-C,0,APM MAIN,E11G1,2022758-001-C,0,APM MAIN,0de170ce-9c96-ec11-817f-12e75f4d5d6d,PARTGROUP,2022758-001-C,USD,PURCHASE,151946,USD,APM MAIN,E11G1,0de170ce-9c96-ec11-817f-12e75f4d5d6d,PSAPMPART
2025177-026,GE Corometrics 250 Series Fetal Patient Monitor Trim Knob & Switch (Unfinished),Avante Health Solutions (APM-PATIENT MONITORING),GE,2025177-032,Refurbished,44.000000,Y,1-5 days,2025177-026,6738f9a6-6864-ea11-817b-a9605c8569c6,MANUFACTUR,6738f9a6-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2025177-026,0,APM MAIN,D05A1,2025177-026,0,APM MAIN,6738f9a6-6864-ea11-817b-a9605c8569c6,PARTGROUP,2025177-026,USD,PURCHASE,69163,USD,APM MAIN,D05A1,6738f9a6-6864-ea11-817b-a9605c8569c6,PSAPMPART
2025177-084,Corometrics 120/ 250 series ultrasound connector assembly 13888A,Avante Health Solutions (APM-PATIENT MONITORING),Avante,2025248-001,Refurbished,14.000000,Y,1-5 days,2025177-084,0b3af9a6-6864-ea11-817b-a9605c8569c6,MANUFACTUR,0b3af9a6-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2025177-084,0,APM MAIN,E11E2,2025177-084,0,APM MAIN,0b3af9a6-6864-ea11-817b-a9605c8569c6,PARTGROUP,2025177-084,USD,PURCHASE,69185,USD,APM MAIN,E11E2,0b3af9a6-6864-ea11-817b-a9605c8569c6,PSAPMPART
2025248-001-C,GE Cardiac Output Cable 12ft. (2025248-001 Direct Replacement),Avante Health Solutions (APM-PATIENT MONITORING),GE,2026653-002,New Aftermarket,29.000000,Y,1-5 days,2025248-001-C,e8325346-6814-ef11-8358-121089124341,MANUFACTUR,e8325346-6814-ef11-8358-121089124341,MFGPARTNO,2025248-001-C,0,APM MAIN,F06H1,2025248-001-C,0,APM MAIN,e8325346-6814-ef11-8358-121089124341,PARTGROUP,2025248-001-C,USD,PURCHASE,166096,USD,APM MAIN,F06H1,e8325346-6814-ef11-8358-121089124341,PSAPMPART
2031069-002-C,GE PDM Battery Door & Tray (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,2031069-003,New Aftermarket,19.000000,Y,1-5 days,2031069-002-C,93f5d84f-a495-ec11-817f-12e75f4d5d6d,MANUFACTUR,93f5d84f-a495-ec11-817f-12e75f4d5d6d,MFGPARTNO,2031069-002-C,0,APM MAIN,E12C2,2031069-002-C,0,APM MAIN,93f5d84f-a495-ec11-817f-12e75f4d5d6d,PARTGROUP,2031069-002-C,USD,PURCHASE,151910,USD,APM MAIN,E12C2,93f5d84f-a495-ec11-817f-12e75f4d5d6d,PSAPMPART
2031069-003-C,GE PDM Patient Data Module Battery (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),GE,2034402-001,New Aftermarket,20.000000,Y,1-5 days,2031069-003-C,cc251853-da02-eb11-8181-1296c0afa970,MANUFACTUR,cc251853-da02-eb11-8181-1296c0afa970,MFGPARTNO,2031069-003-C,0,APM MAIN,F08B2,2031069-003-C,0,APM MAIN,cc251853-da02-eb11-8181-1296c0afa970,PARTGROUP,2031069-003-C,USD,PURCHASE,117678,USD,APM MAIN,F08B2,cc251853-da02-eb11-8181-1296c0afa970,PSAPMPART
2037103-083-F,GE Carescape V100 Vital Signs Monitor Main Circuit Board SuperSTAT NiBP Nellcor OxiMax & Temp Version 1.5 (Finished),Avante Health Solutions (APM-PATIENT MONITORING),GE,2037103-086,Refurbished,1.000000,Y,1-5 days,2037103-083-F,2817f8b8-6864-ea11-817b-a9605c8569c6,MANUFACTUR,2817f8b8-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2037103-083-F,0,APM MAIN,A000001,2037103-083-F,0,APM MAIN,2817f8b8-6864-ea11-817b-a9605c8569c6,PARTGROUP,2037103-083-F,USD,PURCHASE,69292,USD,APM MAIN,A000001,2817f8b8-6864-ea11-817b-a9605c8569c6,PSAPMPART
2037103-086,GE Carescape V100 Vital Signs Monitor Lower Front Connector Trim Bezel NiBP Masimo SET MS-2011 SpO2 & Temp (Refurbished),Avante Health Solutions (APM-PATIENT MONITORING),GE,2056516-084,Refurbished,2.000000,Y,1-5 days,2037103-086,6117f8b8-6864-ea11-817b-a9605c8569c6,MANUFACTUR,6117f8b8-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2037103-086,0,APM MAIN,D08A1,2037103-086,0,APM MAIN,6117f8b8-6864-ea11-817b-a9605c8569c6,PARTGROUP,2037103-086,USD,PURCHASE,69295,USD,APM MAIN,D08A1,6117f8b8-6864-ea11-817b-a9605c8569c6,PSAPMPART
2054,Masimo SET Red-DCI-dc12 Adult Hard Shell Direct Connect SpO2 Sensor RED 20 Pin Connector 12' Cable (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2055,New OEM,6.000000,Y,1-5 days,2054,0b9e13bf-6864-ea11-817b-a9605c8569c6,MANUFACTUR,0b9e13bf-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2054,0,APM MAIN,F05C1,2054,0,APM MAIN,0b9e13bf-6864-ea11-817b-a9605c8569c6,PARTGROUP,2054,USD,PURCHASE,69307,USD,APM MAIN,F05C1,0b9e13bf-6864-ea11-817b-a9605c8569c6,PSAPMPART
2055,Masimo RED LNC-04 Patient Extension SpO2 Cable 4' Red 20 Pin Connector to LNCS 9 Pin Connector (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2057,New OEM,50.000000,Y,1-5 days,2055,1e9e13bf-6864-ea11-817b-a9605c8569c6,MANUFACTUR,1e9e13bf-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2055,0,APM MAIN,F05D1,2055,0,APM MAIN,1e9e13bf-6864-ea11-817b-a9605c8569c6,PARTGROUP,2055,USD,PURCHASE,69308,USD,APM MAIN,F05D1,1e9e13bf-6864-ea11-817b-a9605c8569c6,PSAPMPART
2056516-084-F,GE MAC3500 or MAC5500 HD Mobile Link 2.4 and 5GHz US Bridge Only (Finished),Avante Health Solutions (APM-PATIENT MONITORING),Avante,2062895-001,Refurbished,4.000000,Y,1-5 days,2056516-084-F,b2889c13-b598-ec11-817f-12e75f4d5d6d,MANUFACTUR,b2889c13-b598-ec11-817f-12e75f4d5d6d,MFGPARTNO,2056516-084-F,0,APM MAIN,A000001,2056516-084-F,0,APM MAIN,b2889c13-b598-ec11-817f-12e75f4d5d6d,PARTGROUP,2056516-084-F,USD,PURCHASE,151976,USD,APM MAIN,A000001,b2889c13-b598-ec11-817f-12e75f4d5d6d,PSAPMPART
2057,Masimo LNCS LNC-14 Red 20 Pin SpO2 Extension Cable (14 ft),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2058,New OEM,1.000000,Y,1-5 days,2057,599e13bf-6864-ea11-817b-a9605c8569c6,MANUFACTUR,599e13bf-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2057,0,APM MAIN,F05C1,2057,0,APM MAIN,599e13bf-6864-ea11-817b-a9605c8569c6,PARTGROUP,2057,USD,PURCHASE,69311,USD,APM MAIN,F05C1,599e13bf-6864-ea11-817b-a9605c8569c6,PSAPMPART
2059,Masimo LNOP PC-08 Red 20 Pin SpO2 Extension Cable (10 ft),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2060,New OEM,19.000000,Y,1-5 days,2059,939e13bf-6864-ea11-817b-a9605c8569c6,MANUFACTUR,939e13bf-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2059,0,APM MAIN,F05D1,2059,0,APM MAIN,939e13bf-6864-ea11-817b-a9605c8569c6,PARTGROUP,2059,USD,PURCHASE,69314,USD,APM MAIN,F05D1,939e13bf-6864-ea11-817b-a9605c8569c6,PSAPMPART
2060,Masimo SET Red PC-12 Patient Extension Cable 12' LNOP F-Tab to Red 20 Pin (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2097,New OEM,27.000000,Y,1-5 days,2060,bc9e13bf-6864-ea11-817b-a9605c8569c6,MANUFACTUR,bc9e13bf-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2060,0,APM MAIN,F05D1,2060,0,APM MAIN,bc9e13bf-6864-ea11-817b-a9605c8569c6,PARTGROUP,2060,USD,PURCHASE,69316,USD,APM MAIN,F05D1,bc9e13bf-6864-ea11-817b-a9605c8569c6,PSAPMPART
2062895-001-C,GE Carescape B450 Battery (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),GE,2062895-001,New Aftermarket,29.000000,Y,1-5 days,2062895-001-C,09114de9-0263-ee11-8350-121089124341,MANUFACTUR,09114de9-0263-ee11-8350-121089124341,MFGPARTNO,2062895-001-C,0,APM MAIN,F08B1,2062895-001-C,0,APM MAIN,09114de9-0263-ee11-8350-121089124341,PARTGROUP,2062895-001-C,USD,PURCHASE,163352,USD,APM MAIN,F08B1,09114de9-0263-ee11-8350-121089124341,PSAPMPART
2062895-001-N,GE Carescape B450 Battery (New OEM),Avante Health Solutions (APM-PATIENT MONITORING),Nellcor,208395,New OEM,4.000000,Y,1-5 days,2062895-001-N,d4d982af-38a6-ea11-817d-fadf9b67cb3d,MANUFACTUR,d4d982af-38a6-ea11-817d-fadf9b67cb3d,MFGPARTNO,2062895-001-N,0,APM MAIN,F08C2,2062895-001-N,0,APM MAIN,d4d982af-38a6-ea11-817d-fadf9b67cb3d,PARTGROUP,2062895-001-N,USD,PURCHASE,87698,USD,APM MAIN,F08C2,d4d982af-38a6-ea11-817d-fadf9b67cb3d,PSAPMPART
2097,Masimo Handheld Protective Boot (Royal Blue),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2098,New OEM,1.000000,Y,1-5 days,2097,993e0bc5-6864-ea11-817b-a9605c8569c6,MANUFACTUR,993e0bc5-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2097,0,APM MAIN,E10D1,2097,0,APM MAIN,993e0bc5-6864-ea11-817b-a9605c8569c6,PARTGROUP,2097,USD,PURCHASE,69351,USD,APM MAIN,E10D1,993e0bc5-6864-ea11-817b-a9605c8569c6,PSAPMPART
22-4003-C,Medfusion 3500/4000 Left & Right Plunger Assembly Case (Replacement New),Avante Health Solutions (APM-PATIENT MONITORING),Avante,22-4051-01/MN190919,New Aftermarket,70.000000,Y,1-5 days,22-4003-C,3a114b45-3011-ee11-834d-121089124341,MANUFACTUR,3a114b45-3011-ee11-834d-121089124341,MFGPARTNO,22-4003-C,0,APM MAIN,F13B3,22-4003-C,0,APM MAIN,3a114b45-3011-ee11-834d-121089124341,PARTGROUP,22-4003-C,USD,PURCHASE,162146,USD,APM MAIN,F13I1,3a114b45-3011-ee11-834d-121089124341,PSAPMPART
22-4050-51-C,Medfusion 4000 7.2V Battery (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,330084,New Aftermarket,150.000000,Y,1-5 days,22-4050-51-C,51db82af-38a6-ea11-817d-fadf9b67cb3d,MANUFACTUR,51db82af-38a6-ea11-817d-fadf9b67cb3d,MFGPARTNO,22-4050-51-C,0,APM MAIN,F08C2,22-4050-51-C,0,APM MAIN,51db82af-38a6-ea11-817d-fadf9b67cb3d,PARTGROUP,22-4050-51-C,USD,PURCHASE,87718,USD,APM MAIN,F08C2,51db82af-38a6-ea11-817d-fadf9b67cb3d,PSAPMPART
2256,Masimo SET Red DCIP-dc3 Direct Connect Pediatric Soft Shell SpO2 Sensor 3' Cable Red 20 Pin Connector (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2263,New OEM,4.000000,Y,1-5 days,2256,2c2807d1-6864-ea11-817b-a9605c8569c6,MANUFACTUR,2c2807d1-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2256,0,APM MAIN,F05A1,2256,0,APM MAIN,2c2807d1-6864-ea11-817b-a9605c8569c6,PARTGROUP,2256,USD,PURCHASE,69396,USD,APM MAIN,F05A1,2c2807d1-6864-ea11-817b-a9605c8569c6,PSAPMPART
2263,Masimo SET LNC CMS SpO2 Patient Extension 10' Cable  Philips 12 Pin to LNCS 9 Pin Connector (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2266,New OEM,9.000000,Y,1-5 days,2263,652807d1-6864-ea11-817b-a9605c8569c6,MANUFACTUR,652807d1-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2263,0,APM MAIN,F05D1,2263,0,APM MAIN,652807d1-6864-ea11-817b-a9605c8569c6,PARTGROUP,2263,USD,PURCHASE,69399,USD,APM MAIN,F05D1,652807d1-6864-ea11-817b-a9605c8569c6,PSAPMPART
2266,Masimo LNC MAC-SL SpO2 Patient Extension Cable Spacelabs to LNCS 10' (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2269,New OEM,10.000000,Y,1-5 days,2266,8d2807d1-6864-ea11-817b-a9605c8569c6,MANUFACTUR,8d2807d1-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2266,0,APM MAIN,F05D1,2266,0,APM MAIN,8d2807d1-6864-ea11-817b-a9605c8569c6,PARTGROUP,2266,USD,PURCHASE,69401,USD,APM MAIN,F05D1,8d2807d1-6864-ea11-817b-a9605c8569c6,PSAPMPART
2269,Masimo SET LNC MAC-395 SpO2 Patient Extension Adapter Cable LNCS 9 Pin to Nellcor N-395 OxiMax DB9 9 Pin Connector 10' (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,2282,New OEM,1.000000,Y,1-5 days,2269,b32807d1-6864-ea11-817b-a9605c8569c6,MANUFACTUR,b32807d1-6864-ea11-817b-a9605c8569c6,MFGPARTNO,2269,0,APM MAIN,F05C1,2269,0,APM MAIN,b32807d1-6864-ea11-817b-a9605c8569c6,PARTGROUP,2269,USD,PURCHASE,69403,USD,APM MAIN,F05C1,b32807d1-6864-ea11-817b-a9605c8569c6,PSAPMPART
